model_id,model_name,model_size,prefill_length,context_length,version,target,device_num,core_num,publish_time,model_md5sum,quant_model_md5sum,model_path,quant_model_path
785127-v0.4.0,qwen3,14b,256,8192,v0.4.0,xh2,1,2,20250926 15:36:46,bad604be7977fe9e2fb85fe850510f3f,3b4f5a9fb0cb79e96d32ecaaa0ced10c,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_14b_256_8k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen3/hmquant_xh2_qwen3_14b_2k_20250902.zip
987498-v0.4.0,qwen3,14b,256,16384,v0.4.0,xh2,1,2,20250926 18:22:40,6a903ba2228870f5ad46d01e69f31f57,3b4f5a9fb0cb79e96d32ecaaa0ced10c,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_14b_256_16k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen3/hmquant_xh2_qwen3_14b_2k_20250902.zip
1975069-v0.4.0,qwen2.5,7b,256,2048,v0.4.0,xh2,1,2,20250927 09:30:28,0f5308099673b3b63844c9a6244b7e37,ea9333be56df0078a8115dd77e44452a,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen2.5/hmm_xh2_qwen2.5_7b_256_2k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen2.5/hmquant_xh2_qwen2.5_7b_2k_20250904.zip
2007258-v0.4.0,qwen2.5,7b,256,4096,v0.4.0,xh2,1,2,20250927 10:10:26,d28bb99eb5d9390800fe7dbee4aec4d0,ea9333be56df0078a8115dd77e44452a,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen2.5/hmm_xh2_qwen2.5_7b_256_4k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen2.5/hmquant_xh2_qwen2.5_7b_2k_20250904.zip
2041142-v0.4.0,qwen2.5,7b,256,8192,v0.4.0,xh2,1,2,20250927 11:08:15,73beefdc85d677d860ea904024604ce0,ea9333be56df0078a8115dd77e44452a,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen2.5/hmm_xh2_qwen2.5_7b_256_8k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen2.5/hmquant_xh2_qwen2.5_7b_2k_20250904.zip
2090496-v0.4.0,deepseek-r1-qwen3,8b,256,4096,v0.4.0,xh2,1,2,20250927 12:09:34,65dccd77660dfa8ce265bafe96eba749,c7587161f17fa619a7b9e261fdc0d243,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/deepseek/hmm_xh2_deepseek-r1-qwen3_8b_256_4k_b1_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/deepseek/hmquant_xh2_deepseek_qwen3_8b_2k_20250903.zip
3597465-v0.4.0,qwen3,14b,256,16384,v0.4.0,xh2,2,2,20250928 17:55:33,b160a85fbec4afde77f535712afc478e,3b4f5a9fb0cb79e96d32ecaaa0ced10c,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_14b_256_16k_b1_2chips_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen3/hmquant_xh2_qwen3_14b_2k_20250902.zip
4069817-v0.4.0,qwen3,14b,256,32768,v0.4.0,xh2,2,2,20250929 00:59:52,64e9d780f825683c75c783cb699d57b6,3b4f5a9fb0cb79e96d32ecaaa0ced10c,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_14b_256_32k_b1_2chips_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen3/hmquant_xh2_qwen3_14b_2k_20250902.zip
2040725-v0.4.0,qwen3,32b,256,8192,v0.4.0,xh2,2,2,20251011 22:40:59,7952f94154c6fdc56274127d461047f7,,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_32b_256_8k_b1_2chips_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_32b_256_8k_b1_2chips_2cores_v0.4.0.zip
2718027-v0.4.0,qwen3,8b,256,8192,v0.4.0,xh2,1,2,20251012 00:47:03,c02ca4d2ed2a7f942e65fe8fcc5d3163,92525b9812746784b281d407796f755d,http://10.10.1.53:8082/artifactory/toolchain/release/models/v0.4.0/qwen3/hmm_xh2_qwen3_8b_256_8k_b4_1chip_2cores_v0.4.0.zip,http://10.10.1.53:8082/artifactory/toolchain/release/models_outdated/qwen3/hmquant_xh2_qwen3_8b_2k_norm1fast_20250913.zip
